the_geom,start_station_longitude,tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,cartodb_id,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender
,-73.99481051,801,2/1/2015 0:00,2/1/2015 0:14,521,8 Ave & W 31 St,40.75044999,1,423,W 54 St & 9 Ave,40.76584941,-73.98690506,17131,Subscriber,1978,2
,-73.98564945,245,2/1/2015 1:03,2/1/2015 1:07,438,St Marks Pl & 1 Ave,40.72779126,89,297,E 15 St & 3 Ave,40.734232,-73.986923,20142,Subscriber,1990,1
,-73.99009296,379,2/1/2015 0:00,2/1/2015 0:07,497,E 17 St & Broadway,40.73704984,2,504,1 Ave & E 15 St,40.73221853,-73.98165557,21289,Subscriber,1993,1
,-73.97371465,2474,2/1/2015 0:01,2/1/2015 0:42,281,Grand Army Plaza & Central Park S,40.7643971,3,127,Barrow St & Hudson St,40.73172428,-74.00674436,18903,Subscriber,1969,2
,-74.004704,818,2/1/2015 0:01,2/1/2015 0:15,2004,6 Ave & Broome St,40.724399,4,505,6 Ave & W 33 St,40.74901271,-73.98848395,21044,Subscriber,1985,2
,-73.98631746,544,2/1/2015 0:01,2/1/2015 0:10,323,Lawrence St & Willoughby St,40.69236178,5,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,19868,Subscriber,1957,1
,-73.95381995,717,2/1/2015 0:02,2/1/2015 0:14,373,Willoughby Ave & Walworth St,40.69331716,6,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,15854,Subscriber,1979,1
,-73.97722479,1306,2/1/2015 0:04,2/1/2015 0:26,352,W 56 St & 6 Ave,40.76340613,7,504,1 Ave & E 15 St,40.73221853,-73.98165557,15173,Subscriber,1983,1
,-73.98978041,913,2/1/2015 0:04,2/1/2015 0:19,439,E 4 St & 2 Ave,40.7262807,8,116,W 17 St & 8 Ave,40.74177603,-74.00149746,17862,Subscriber,1955,1
,-73.99404649,759,2/1/2015 0:04,2/1/2015 0:17,335,Washington Pl & Broadway,40.72903917,9,2012,E 27 St & 1 Ave,40.739445,-73.976806,21183,Subscriber,1985,2
,-74.00263761,585,2/1/2015 0:05,2/1/2015 0:15,284,Greenwich Ave & 8 Ave,40.73901691,10,444,Broadway & W 24 St,40.7423543,-73.98915076,14843,Subscriber,1982,1
,-74.00263761,581,2/1/2015 0:05,2/1/2015 0:15,284,Greenwich Ave & 8 Ave,40.73901691,11,444,Broadway & W 24 St,40.7423543,-73.98915076,16936,Subscriber,1988,2
,-73.98808416,204,2/1/2015 0:05,2/1/2015 0:08,498,Broadway & W 32 St,40.74854862,12,472,E 32 St & Park Ave,40.7457121,-73.98194829,21507,Subscriber,1991,2
,-74.00214988,1169,2/1/2015 0:07,2/1/2015 0:27,368,Carmine St & 6 Ave,40.73038599,13,307,Canal St & Rutgers St,40.71427487,-73.98990025,17456,Subscriber,1982,2
,-73.98426726,419,2/1/2015 0:07,2/1/2015 0:14,326,E 11 St & 1 Ave,40.72953837,14,2012,E 27 St & 1 Ave,40.739445,-73.976806,14679,Subscriber,1990,2
,-73.99884222,413,2/1/2015 2:41,2/1/2015 2:48,478,11 Ave & W 41 St,40.76030096,171,465,Broadway & W 41 St,40.75513557,-73.98658032,17968,Subscriber,1970,1
,-73.99074142,527,2/1/2015 0:09,2/1/2015 0:17,285,Broadway & E 14 St,40.73454567,15,212,W 16 St & The High Line,40.74334935,-74.00681753,18978,Subscriber,1977,1
,-74.00214988,1013,2/1/2015 0:10,2/1/2015 0:27,368,Carmine St & 6 Ave,40.73038599,16,488,W 39 St & 9 Ave,40.75645824,-73.99372222,16496,Subscriber,1968,1
,-73.97768752,587,2/1/2015 0:13,2/1/2015 0:23,394,E 9 St & Avenue C,40.72521311,17,331,Pike St & Monroe St,40.71173107,-73.99193043,17107,Subscriber,1990,1
,-73.98426726,525,2/1/2015 0:13,2/1/2015 0:22,326,E 11 St & 1 Ave,40.72953837,18,507,E 25 St & 2 Ave,40.73912601,-73.97973776,16984,Subscriber,1987,1
,-73.98291153,670,2/1/2015 0:14,2/1/2015 0:26,493,W 45 St & 6 Ave,40.7568001,19,305,E 58 St & 3 Ave,40.76095756,-73.96724467,15997,Subscriber,1980,1
,-73.98142006,711,2/1/2015 0:15,2/1/2015 0:27,445,E 10 St & Avenue A,40.72740794,20,223,W 13 St & 7 Ave,40.73781509,-73.99994661,21516,Subscriber,1960,1
,-73.98783413,1559,2/1/2015 0:16,2/1/2015 0:42,428,E 3 St & 1 Ave,40.72467721,21,457,Broadway & W 58 St,40.76695317,-73.98169333,15815,Subscriber,1986,1
,-73.97187886,683,2/1/2015 0:16,2/1/2015 0:27,228,E 48 St & 3 Ave,40.7546011,22,477,W 41 St & 8 Ave,40.75640548,-73.9900262,18727,Subscriber,1987,1
,-73.988639,522,2/1/2015 0:16,2/1/2015 0:24,513,W 56 St & 10 Ave,40.768254,23,488,W 39 St & 9 Ave,40.75645824,-73.99372222,14982,Subscriber,1969,1
,-73.97973776,389,2/1/2015 0:16,2/1/2015 0:23,507,E 25 St & 2 Ave,40.73912601,24,518,E 39 St & 2 Ave,40.74780373,-73.9734419,16391,Subscriber,1957,1
,-73.98978041,276,2/1/2015 0:16,2/1/2015 0:21,439,E 4 St & 2 Ave,40.7262807,25,473,Rivington St & Chrystie St,40.72110063,-73.9919254,15947,Subscriber,1981,1
,-74.00297088,907,2/1/2015 0:17,2/1/2015 0:32,128,MacDougal St & Prince St,40.72710258,26,531,Forsyth St & Broome St,40.71893904,-73.99266288,16917,Subscriber,1993,1
,-73.993934,946,2/1/2015 0:18,2/1/2015 0:33,490,8 Ave & W 33 St,40.751551,27,528,2 Ave & E 31 St,40.74290902,-73.97706058,15924,Subscriber,1975,1
,-73.9870295,144,2/1/2015 0:18,2/1/2015 0:21,350,Clinton St & Grand St,40.71559509,28,502,Henry St & Grand St,40.714215,-73.981346,21321,Subscriber,1973,1
,-73.99565293,257,2/1/2015 0:19,2/1/2015 0:23,250,Lafayette St & Jersey St,40.72456089,29,401,Allen St & Rivington St,40.72019576,-73.98997825,16861,Subscriber,1973,2
,-73.98165557,602,2/1/2015 0:20,2/1/2015 0:30,504,1 Ave & E 15 St,40.73221853,30,411,E 6 St & Avenue D,40.72228087,-73.97668709,21289,Subscriber,1977,1
,-73.98185424,764,2/1/2015 0:21,2/1/2015 0:33,317,E 6 St & Avenue B,40.72453734,31,358,Christopher St & Greenwich St,40.73291553,-74.00711384,16780,Subscriber,1981,1
,-73.98205027,733,2/1/2015 0:21,2/1/2015 0:34,461,E 20 St & 2 Ave,40.73587678,32,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,17341,Subscriber,1991,1
,-73.9900262,559,2/1/2015 0:22,2/1/2015 0:31,477,W 41 St & 8 Ave,40.75640548,33,513,W 56 St & 10 Ave,40.768254,-73.988639,16983,Subscriber,1980,1
,-73.98185424,159,2/1/2015 0:22,2/1/2015 0:25,317,E 6 St & Avenue B,40.72453734,34,393,E 5 St & Avenue C,40.72299208,-73.97995466,14958,Subscriber,1971,1
,-73.99266288,977,2/1/2015 0:23,2/1/2015 0:39,531,Forsyth St & Broome St,40.71893904,35,127,Barrow St & Hudson St,40.73172428,-74.00674436,15706,Subscriber,1984,1
,-73.990214,529,2/1/2015 0:23,2/1/2015 0:32,300,Shevchenko Pl & E 7 St,40.728145,36,531,Forsyth St & Broome St,40.71893904,-73.99266288,14884,Subscriber,1995,1
,-73.990214,522,2/1/2015 0:23,2/1/2015 0:32,300,Shevchenko Pl & E 7 St,40.728145,37,531,Forsyth St & Broome St,40.71893904,-73.99266288,21400,Subscriber,1994,2
,-73.990214,506,2/1/2015 0:23,2/1/2015 0:32,300,Shevchenko Pl & E 7 St,40.728145,38,531,Forsyth St & Broome St,40.71893904,-73.99266288,19936,Subscriber,1968,1
,-73.99994661,345,2/1/2015 0:23,2/1/2015 0:29,223,W 13 St & 7 Ave,40.73781509,39,293,Lafayette St & E 8 St,40.73028666,-73.9907647,17105,Subscriber,1993,1
,-73.99266288,285,2/1/2015 0:23,2/1/2015 0:28,531,Forsyth St & Broome St,40.71893904,40,403,E 2 St & 2 Ave,40.72502876,-73.99069656,19261,Subscriber,1966,1
